A song that has meaning to you 
your go to karaoke song 
A song that everyone should listen to
A song to drive to
A song you like with a color in the title
A song that makes you want to dance
A song that makes you happy
A song that makes you sad
A song from your preteen years
A song you'd love to be played at your wedding
A song to sing in the shower
A song to play when getting ready for a night out 
A song that makes you think about life
A song that you'd play on a road trip
Your favorite duet song
Your favorite workout song
